row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_HUE_masked_min,NDVI_HUE_masked_max,NDVI_HUE_masked_mean,NDVI_HUE_masked_count,Year,Location,Pedigree,Rep,Block,MOplot
25,2,2021_MOH2_ALL,32,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,32,"POLYGON ((556102.3454558827 4309081.127946899, 556101.8141499056 4309075.055144469, 556100.2959504806 4309075.187971084, 556100.8272564576 4309081.260773513, 556102.3454558827 4309081.127946899))",0.3827359080314636,0.8777267336845398,0.7108473022541832,1509,2021,MOH2,TX714/TX779,1,-1,509
24,2,2021_MOH2_ALL,33,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,33,"POLYGON ((556103.9717453042 4309080.955929922, 556103.4404394063 4309074.8831274845, 556101.922239974 4309075.015954079, 556102.4535458718 4309081.0887565175, 556103.9717453042 4309080.955929922))",0.4133269488811493,0.9085579514503479,0.7580657516089323,5788,2021,MOH2,B37/MO17,1,-1,510
23,2,2021_MOH2_ALL,34,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,34,"POLYGON ((556105.4964501414 4309080.704141551, 556104.9651442381 4309074.631339113, 556103.4469447808 4309074.764165708, 556103.9782506851 4309080.8369681435, 556105.4964501414 4309080.704141551))",0.4353247582912445,0.9137315154075623,0.7808962893094185,7910,2021,MOH2,W10004_0080/PHK76,1,3,24
22,2,2021_MOH2_ALL,35,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,35,"POLYGON ((556107.0973102027 4309080.936174269, 556106.566004394 4309074.863371821, 556105.0478050052 4309074.9961984, 556105.5791108136 4309081.069000847, 556107.0973102027 4309080.936174269))",0.38320350646972656,0.9140064120292664,0.782266279990189,5606,2021,MOH2,W10004_1112/PHK76,1,3,25
21,2,2021_MOH2_ALL,36,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,36,"POLYGON ((556108.5359912346 4309080.861044339, 556108.0046853719 4309074.788241899, 556106.4864859948 4309074.92106849, 556107.0177918595 4309080.993870932, 556108.5359912346 4309080.861044339))",0.38320350646972656,0.9000847339630127,0.7423089740164864,5732,2021,MOH2,W10004_0827/PHK76,1,3,26
20,2,2021_MOH2_ALL,37,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,37,"POLYGON ((556110.3012404279 4309080.537471555, 556109.7699347358 4309074.464669097, 556108.2517353195 4309074.5974956425, 556108.7830410092 4309080.6702981, 556110.3012404279 4309080.537471555))",0.42202848196029663,0.9074303507804871,0.7566073954539542,4805,2021,MOH2,B37/OH43,1,3,27
19,2,2021_MOH2_ALL,38,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,38,"POLYGON ((556111.7588062548 4309080.2915571155, 556111.2275005085 4309074.218754662, 556109.7093010697 4309074.3515812205, 556110.240606818 4309080.424383672, 556111.7588062548 4309080.2915571155))",0.4153546690940857,0.9069441556930542,0.7506155144158374,7637,2021,MOH2,W10004_0079/PHK76,1,3,28
18,2,2021_MOH2_ALL,39,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,39,"POLYGON ((556113.3855772926 4309080.318364334, 556112.8542716422 4309074.245561871, 556111.3360722329 4309074.378388407, 556111.8673778821 4309080.451190871, 556113.3855772926 4309080.318364334))",0.4105645418167114,0.8899509906768799,0.7462962251229874,5590,2021,MOH2,W10004_0264/PHK76,1,2,29
17,2,2021_MOH2_ALL,40,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,40,"POLYGON ((556114.9753211275 4309080.230018208, 556114.4440155354 4309074.157215741, 556112.9258161335 4309074.2900422625, 556113.4571217254 4309080.362844732, 556114.9753211275 4309080.230018208))",0.39701494574546814,0.8958670496940613,0.7471737441196237,7440,2021,MOH2,W10004_0062/PHK76,1,2,30
16,2,2021_MOH2_ALL,41,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,41,"POLYGON ((556116.6493041669 4309079.829864041, 556116.1179986721 4309073.757061564, 556114.5997992149 4309073.889888058, 556115.1311047117 4309079.962690535, 556116.6493041669 4309079.829864041))",0.41780027747154236,0.9110743403434753,0.7513225539943111,5669,2021,MOH2,W10004_0199/PHK76,1,4,31
