"","PlotID","Python_Height","X","LAI","Pedigree","Exp_row","Exp_range"
"270",270,1.09873962402344,270,0.115490375802017,"W10004_0039/PHK76",5,12
"271",271,1.02950317382812,271,0.131574479644155,"W10004_0951/PHK76",4,12
"272",272,1.21113586425781,272,0.210924769147203,"W10004_0161/PHK76",3,12
"273",273,1.15933227539062,273,0.184416907146495,"W10004_0035/PHK76",2,12
"274",274,1.09632873535156,274,0.10973415271789,"W10004_0185/PHK76",1,12
"275",275,0.301986694335938,275,0.0186744533478202,"PB80/TX779",1,13
"276",276,1.10887145996094,276,0.151150947239764,"W10004_0362/PHK76",2,13
"277",277,0.641754150390625,277,0.0497708368698014,"W10004_0913/PHK76",3,13
"278",278,0.36285400390625,278,0.00458310700706138,"W10004_0667/PHK76",4,13
"279",279,0.404420623779288,279,0.00580625445655496,"W10004_0774/PHK76",5,13
"280",280,0.213001708984365,280,0.0064167854960277,"W10004_0628/PHK76",6,13
"281",281,0.245562744140614,281,0.000916559168986354,"W10004_0412/PHK76",7,13
"282",282,0.28999542236329,282,0.00478728822191288,"W10004_0308/PHK76",8,13
"283",283,0.520294189453125,283,0.0316107564851283,"LH195/TX779",9,13
"284",284,0.326446533203125,284,0.00295385869011646,"W10004_1002/PHK76",10,13
"285",285,0.933547973632812,285,0.12022952600842,"W10004_0844/PHK76",11,13
"286",286,0.468063354492188,286,0.0180274995756238,"LH82/TX779",12,13
"287",287,0.917190551757812,287,0.0662004345464422,"W10004_0152/PHK76",13,13
"288",288,0.067962646484375,288,0.00101860654624474,"W10004_1011/PHK76",14,13
"289",289,0.862444610595702,289,0.0903751485316585,"W10004_0116/PHK76",15,13
"290",290,1.16124084472656,290,0.226673910090996,"W10004_0646/PHK76",16,13
"291",291,1.02470397949219,291,0.189726004142193,"W10004_0830/PHK76",17,13
"292",292,1.25689773559571,292,0.298421320658632,"W10004_0133/PHK76",18,13
"293",293,0.767922973632807,293,0.0811122805826232,"W10004_0920/PHK76",19,13
"294",294,0.906143188476562,294,0.0940789026957289,"W10004_0026/PHK76",20,13
"295",295,0.7607421875,295,0.116151156079177,"W10004_0951/PHK76",21,13
"296",296,0.04034423828125,296,0.0159915798051132,"B73/MO17",22,13
"297",297,0.460556030273438,297,0.0351383466304532,"CG44/CGR01",23,13
"298",298,0.150558471679688,298,0.0192862721130013,"W10004_0206/PHK76",23,14
"299",299,0.753373413085939,299,0.0537429977932439,"W10004_0823/PHK76",22,14
"300",300,0.867111206054688,300,0.0999185170095743,"W10004_0938/PHK76",21,14
"301",301,0.664413452148438,301,0.045493125106094,"W10004_0127/PHK76",20,14
"302",302,0.237091064453125,302,0.00685885029370819,"W10004_0705/PHK76",19,14
"303",303,0.938925476074218,303,0.164686311787072,"W10004_0394/PHK76",18,14
"304",304,1.02116607666017,304,0.127966590839643,"W10004_0727/PHK76",17,14
"305",305,0.789584808349616,305,0.0473652044003803,"W10004_0299/PHK76",16,14
"306",306,0.134963989257812,306,0.00356500186738193,"W10004_0626/PHK76",15,14
"307",307,0.538711547851562,307,0.0317444150200312,"W10004_0253/PHK76",14,14
"308",308,0.598648071289062,308,0.017586148361908,"W10004_0842/PHK76",13,14
"309",309,0.184693603515626,309,0.00281785774910881,"W10004_1081/PHK76",12,14
"310",310,0.188507080078125,310,0.00159581692245009,"W10004_0086/PHK76",11,14
"311",311,0.24298095703125,311,0.00529603476371537,"W10004_0997/PHK76",10,14
"312",312,0.577606201171875,312,0.0366673456915869,"W10004_0220/PHK76",9,14
"313",313,0.818374633789062,313,0.0412889205799464,"W10004_0042/PHK76",8,14
"314",314,0.62225341796875,314,0.0163645005771712,"W10004_0751/PHK76",7,14
"315",315,0.156631469726562,315,0.00648446783228654,"W10004_0238/PHK76",6,14
"316",316,0.230667114257812,316,0.00936990765888104,"W10004_0138/PHK76",5,14
"317",317,0.2137451171875,317,0.0203728226545788,"W10004_1117/PHK76",4,14
"318",318,0.340835571289062,318,0.0175867454335574,"W10004_0106/PHK76",3,14
"319",319,0.222763061523438,319,0.0106610532034088,"W10004_0150/PHK76",2,14
"320",320,0.50819564819335,320,0.05079106403205,"W10004_0395/PHK76",1,14
"321",321,0.317306518554688,321,0.0460347637153721,"F42/H95",1,15
"322",322,0.862548828125,322,0.175346279196089,"W10004_0467/PHK76",2,15
"323",323,0.666762695312514,323,0.12999932097508,"W10004_0011/PHK76",3,15
"324",324,1.0084228515625,324,0.105441830464745,"W10004_0956/PHK76",4,15
"325",325,0.839340209960938,325,0.122330492649306,"W10004_0982/PHK76",5,15
"326",326,0.854537963867188,326,0.0497419530082847,"W10004_0223/PHK76",6,15
"327",327,0.979568481445312,327,0.135261764106743,"W10004_0013/PHK76",7,15
"328",328,0.762880096435538,328,0.0772651661744237,"W10004_0789/PHK76",8,15
"329",329,0.190963745117188,329,0.0121901528013582,"W10004_0620/PHK76",9,15
"330",330,0.794082641601562,330,0.0784613295307938,"W10004_0262/PHK76",10,15
"331",331,1.03248596191406,331,0.165874524714829,"W10004_0146/PHK76",11,15
"332",332,0.7393798828125,332,0.0540898441479067,"TX110/87916",12,15
"333",333,0.202362060546875,333,0.00112035308097097,"W10004_0695/PHK76",13,15
"334",334,0.128662109375,334,0.00400597501357958,"W10004_0856/PHK76",14,15
"335",335,0.0791957092285145,335,0.00312362068380131,"W10004_1112/PHK76",15,15
"336",336,0.155410766601562,336,0.0166032867037892,"W10004_1099/PHK76",16,15
"337",337,0.157016296386729,337,0.00339489407930473,"W10004_0148/PHK76",17,15
"338",338,0.0614335632324128,338,0.00241045662875573,"W10004_0682/PHK76",18,15
"339",339,0.11553955078125,339,0.000169779286926995,"W10004_0859/PHK76",19,15
"340",340,0.046356201171875,340,6.78955766031843e-05,"W10004_0329/PHK76",20,15
"341",341,0.17913818359375,341,0.000916652520794432,"REDEAR/LH195",21,15
"342",342,0.37188720703125,342,0.0183663769690386,"W10004_0276/PHK76",22,15
"343",343,0.879425048828125,343,0.0961564579655032,"W10004_1015/PHK76",23,15
"344",344,0.74102783203125,344,0.0882113269047942,"W10004_0134/PHK76",23,16
"345",345,0.72606597900392,345,0.0483498573950835,"W10004_1014/PHK76",22,16
"346",346,1.24608947753907,346,0.280616575561063,"W10004_0696/PHK76",21,16
"347",347,1.23777770996094,347,0.320578548874478,"W10004_0781/PHK76",20,16
